Segmento,SemanaDoMes,QtdDiasSemCompras,CamprasMedia,CamprasMediaMesAtual,UltimaCompraCancelada,Positivada
8,4,24,0.0,4,1,0
15,3,29,0.0,8,0,0
21,4,30,8.0,0,1,0
8,5,5,8.0,9,0,0
5,2,28,12.0,7,0,0
15,2,5,0.0,13,0,1
10,1,21,8.0,9,0,0
10,1,12,12.0,9,0,0
8,2,13,0.0,0,0,0
19,1,7,0.0,4,0,0
14,1,14,11.5,5,0,1
5,5,19,0.0,4,0,0
10,2,5,8.0,7,0,0
5,4,7,8.0,7,0,1
21,1,6,11.5,4,0,0
8,1,7,16.0,11,0,1
21,2,19,8.0,6,0,1
17,3,20,8.0,3,0,0
5,3,22,8.0,0,1,0
15,3,22,8.0,6,1,0
14,3,19,0.0,7,1,0
10,1,49,10.5,4,1,0
14,1,2,0.0,0,0,1
19,4,31,0.0,24,0,0
17,1,21,14.0,10,0,0
8,3,12,0.0,22,1,1
14,2,35,10.0,4,1,0
14,1,14,10.0,3,0,0
10,4,1,0.0,4,0,0
14,2,5,0.0,18,0,0
15,3,42,0.0,4,1,0
10,4,27,8.0,5,0,0
21,2,54,13.0,0,0,0
15,4,22,0.0,9,1,1
14,4,10,0.0,11,0,0
15,2,15,8.0,5,0,0
8,4,7,8.0,5,0,1
14,1,7,10.5,5,0,0
14,1,28,0.0,12,1,0
5,4,7,0.0,8,0,1
14,4,6,0.0,6,0,0
10,1,21,8.0,2,0,0
10,4,49,0.0,7,1,0
15,1,7,0.0,11,0,1
14,3,69,8.0,10,1,0
10,4,14,0.0,6,0,0
19,1,35,11.5,11,0,0
17,2,5,0.0,4,0,0
15,1,14,13.0,9,0,0
19,1,20,17.5,21,0,0
14,2,5,0.0,15,0,0
8,2,7,10.0,8,0,0
10,2,10,8.0,10,0,0
14,2,67,8.0,0,0,0
17,2,16,0.0,5,1,1
5,1,14,8.0,8,0,0
5,2,25,11.5,8,0,0
19,2,8,0.0,7,0,0
19,3,14,0.0,6,0,0
17,1,19,0.0,4,0,0
5,3,21,8.0,0,0,0
14,1,1,8.0,3,0,0
8,4,14,0.0,11,0,0
19,2,20,0.0,15,0,0
17,3,18,0.0,4,1,1
8,2,7,0.0,2,0,1
8,4,28,0.0,6,0,0
17,4,24,0.0,0,0,0
15,3,16,0.0,8,1,0
17,2,7,12.0,10,0,0
19,4,29,8.0,9,1,1
19,1,7,17.5,17,0,0
14,2,49,10.5,5,1,0
10,2,21,10.5,8,0,0
15,2,14,11.5,5,0,0
15,2,11,8.0,10,0,1
5,4,21,8.0,3,0,1
14,3,15,0.0,2,1,0
8,2,20,0.0,5,0,0
10,1,4,11.5,4,0,0
14,3,7,8.0,11,0,0
10,2,7,15.0,14,0,0
10,1,28,8.5,8,0,0
17,1,8,8.0,0,0,1
5,2,12,0.0,9,0,0
21,1,27,0.0,22,0,0
14,1,26,8.0,8,0,0
5,4,7,8.0,6,0,0
8,3,10,8.0,3,0,0
8,2,7,0.0,3,0,1
5,2,62,10.0,0,0,0
10,3,7,0.0,27,0,0
10,1,49,10.5,5,1,0
21,1,90,13.5,0,1,0
14,1,49,10.0,2,1,0
10,1,13,11.5,11,0,0
14,2,22,8.0,4,0,0
10,2,14,0.0,19,0,0
17,2,1,0.0,9,0,0
17,1,35,8.0,6,1,0
5,2,30,8.0,11,0,0
10,1,35,8.0,8,0,1
19,1,20,0.0,7,0,0
17,1,63,8.0,5,1,0
21,2,8,8.0,6,0,0
8,5,5,8.0,8,0,0
14,1,49,8.0,5,1,0
19,1,49,8.5,0,0,1
5,4,35,8.0,5,0,0
14,5,6,8.0,8,0,0
5,1,5,8.0,0,0,0
14,4,77,8.0,0,0,0
19,4,7,8.0,7,0,0
17,4,13,0.0,5,0,0
14,1,7,10.5,4,0,0
8,1,39,8.5,6,1,0
17,3,2,0.0,6,0,0
10,1,21,8.0,10,0,0
8,4,12,8.0,20,0,0
19,4,30,0.0,4,0,0
8,1,7,26.5,12,0,0
5,1,35,8.5,0,0,0
21,4,77,8.0,3,1,0
17,2,22,13.0,11,0,0
19,2,42,10.5,0,0,0
21,1,20,8.5,5,0,0
10,5,7,0.0,11,0,0
15,1,7,8.0,14,0,0
5,5,34,8.0,9,1,0
19,2,7,14.5,7,0,0
17,3,79,8.0,15,1,0
8,4,23,0.0,5,1,0
8,3,47,8.0,5,1,0
14,4,15,8.0,7,0,1
10,5,5,0.0,8,0,0
17,1,28,17.0,8,0,0
14,1,48,8.5,0,0,0
15,2,11,0.0,0,0,1
14,3,17,8.0,4,0,0
19,3,10,8.0,4,0,0
14,3,20,0.0,4,0,1
17,4,7,0.0,3,0,1
8,4,14,8.0,3,0,1
5,3,33,0.0,8,0,0
14,1,21,0.0,30,0,0
14,2,62,8.0,0,0,0
5,3,23,8.0,3,1,0
17,1,5,8.0,0,1,0
17,2,6,0.0,8,0,0
15,1,4,8.0,4,0,0
15,3,35,0.0,6,0,0
17,3,65,8.0,0,0,0
10,2,22,8.0,6,0,0
8,3,7,8.0,12,0,1
14,3,35,0.0,39,0,0
14,1,77,11.0,3,1,0
5,2,14,14.0,6,0,0
17,1,21,0.0,8,0,0
10,3,7,0.0,16,0,0
15,4,2,0.0,7,0,0
8,2,20,0.0,4,0,0
15,2,4,8.0,4,0,0
8,3,28,0.0,9,0,0
17,4,24,0.0,5,0,1
21,2,9,8.0,9,0,0
17,4,28,0.0,8,1,0
15,4,39,8.0,7,0,0
14,3,21,0.0,11,1,1
17,1,7,11.0,6,0,0
14,1,3,8.0,6,0,0
15,4,24,0.0,0,0,0
21,1,7,8.0,11,0,0
5,4,22,0.0,14,0,0
14,4,46,8.0,3,0,0
14,2,21,11.0,9,0,0
19,1,6,0.0,0,0,0
14,4,23,8.0,4,0,1
14,5,17,0.0,8,0,0
19,1,8,8.0,0,1,0
5,1,31,14.0,11,0,0
21,4,28,0.0,2,1,1
8,2,91,11.5,0,0,0
8,1,7,11.0,4,0,1
15,4,14,0.0,20,0,0
19,3,6,8.0,9,0,0
14,1,21,10.0,3,1,1
10,1,8,10.0,2,0,0
8,4,15,8.0,7,1,0
14,4,19,0.0,10,0,0
1,3,15,0.0,20,0,1
5,1,6,8.0,8,0,0
8,2,1,8.0,6,0,0
14,3,24,8.0,9,0,0
14,4,49,8.0,4,1,1
8,2,18,8.0,3,0,0
8,2,21,8.0,8,0,0
14,4,19,0.0,4,1,0
10,1,3,0.0,11,0,0
8,1,6,8.0,7,0,0
10,2,11,8.0,5,0,0
5,3,13,8.0,6,0,0
14,5,4,0.0,7,0,0
