,Segmento,SemanaDoMes,QtdDiasSemCompras,CamprasMedia,CamprasMediaMesAtual,UltimaCompraCancelada,Positivada
23695,8,4,7,0.0,10,0,1
39145,8,4,14,8.0,5,0,1
15233,8,4,9,0.0,21,0,1
27409,8,4,25,0.0,0,0,1
12175,8,4,7,8.0,22,0,1
19194,8,4,7,0.0,3,0,1
40523,8,4,56,8.0,6,0,1
37920,8,4,36,8.0,5,1,1
37875,8,4,21,0.0,4,0,1
33922,8,4,7,0.0,7,0,1
35200,8,4,35,0.0,3,1,1
9992,8,4,14,0.0,1,0,1
30289,8,4,12,8.0,20,0,1
27718,8,4,21,0.0,8,0,1
1006,8,4,26,0.0,7,1,1
25270,8,4,20,0.0,24,0,1
6366,8,4,22,0.0,5,0,1
24673,8,4,14,8.0,4,0,1
18457,8,4,28,8.0,8,0,1
21758,8,4,7,8.0,11,1,1
142,8,4,14,8.0,3,0,1
10731,8,4,28,0.0,12,0,1
22157,8,4,7,0.0,8,0,1
3134,8,4,35,8.0,5,0,1
35880,8,4,63,8.0,0,0,1
2517,8,4,21,8.0,10,0,1
3802,8,4,7,0.0,6,0,1
31871,8,4,14,0.0,5,0,1
37817,8,4,28,0.0,21,1,1
5486,8,4,7,0.0,9,0,1
40679,8,4,35,0.0,5,0,1
35195,8,4,15,0.0,4,0,1
26732,8,4,19,0.0,5,0,1
28128,8,4,35,8.0,10,1,1
2886,8,4,14,8.0,5,0,1
40613,8,4,7,8.0,11,0,1
22633,8,4,7,0.0,10,0,1
18977,8,4,7,8.0,15,0,1
20067,8,4,11,0.0,8,0,1
35474,8,4,10,8.0,7,0,1
9414,8,4,14,0.0,9,1,1
14253,8,4,25,0.0,11,1,1
5220,8,4,7,8.0,7,0,1
38312,8,4,7,8.0,4,0,1
25170,8,4,5,0.0,6,0,1
32362,8,4,1,8.0,6,0,1
14275,8,4,35,8.0,4,0,1
17327,8,4,40,8.0,2,1,1
10035,8,4,27,8.0,19,0,1
38022,8,4,21,0.0,10,0,1
15366,8,4,34,0.0,7,0,1
14606,8,4,30,0.0,14,1,1
28230,8,4,6,8.0,27,0,1
32198,8,4,35,8.0,5,0,1
39391,8,4,42,0.0,3,1,1
4291,8,4,9,8.0,31,0,1
15326,8,4,22,0.0,4,1,1
22117,8,4,28,0.0,0,0,1
20311,8,4,28,8.0,5,0,1
29617,8,4,26,0.0,10,1,1
4705,8,4,23,0.0,3,1,1
2962,8,4,21,0.0,8,0,1
16001,8,4,47,0.0,36,0,1
8860,8,4,20,0.0,12,0,1
15003,8,4,28,8.0,10,1,1
38054,8,4,7,0.0,8,0,1
34412,8,4,6,0.0,6,0,1
14570,8,4,30,0.0,31,1,1
5130,8,4,14,0.0,5,0,1
20022,8,4,7,0.0,23,0,1
22958,8,4,21,8.0,4,0,1
29864,8,4,34,8.0,7,0,1
28276,8,4,8,0.0,9,1,1
32684,8,4,7,8.0,7,0,1
20785,8,4,42,0.0,6,1,1
23548,8,4,35,8.0,13,1,1
4294,8,4,28,0.0,11,1,1
10955,8,4,21,0.0,6,0,1
7749,8,4,14,0.0,10,0,1
16154,8,4,6,8.0,5,0,1
32379,8,4,21,0.0,6,0,1
32302,8,4,5,8.0,4,0,1
9177,8,4,29,8.0,9,0,1
39781,8,4,21,0.0,4,0,1
311,8,4,8,0.0,6,0,1
25273,8,4,21,8.0,12,0,1
2335,8,4,35,8.0,4,1,1
9784,8,4,14,0.0,21,0,1
10156,8,4,14,0.0,7,0,1
3318,8,4,1,0.0,9,0,1
17620,8,4,7,8.0,16,0,1
32472,8,4,14,8.0,6,0,1
18899,8,4,7,0.0,9,0,1
37365,8,4,25,0.0,0,0,1
17808,8,4,49,8.0,22,0,1
605,8,4,35,0.0,5,1,1
19659,8,4,10,8.0,18,0,1
29605,8,4,14,8.0,2,0,1
5270,8,4,14,8.0,10,1,1
36055,8,4,23,0.0,4,1,1
26262,8,4,35,0.0,7,1,1
23012,8,4,42,8.0,6,0,1
27724,8,4,12,0.0,9,0,0
18603,8,4,43,8.0,17,0,0
23470,8,4,28,0.0,2,1,0
32071,8,4,21,0.0,2,0,0
18313,8,4,22,0.0,12,1,0
39643,8,4,14,8.0,16,0,0
26390,8,4,7,8.0,24,0,0
33041,8,4,44,8.0,5,0,0
23445,8,4,14,8.0,6,0,0
22883,8,4,23,0.0,16,0,0
4606,8,4,14,8.0,5,0,0
2207,8,4,50,0.0,7,0,0
9342,8,4,19,0.0,12,0,0
12187,8,4,7,0.0,3,0,0
36398,8,4,14,0.0,2,0,0
21170,8,4,4,0.0,6,0,0
38702,8,4,42,0.0,7,1,0
38456,8,4,18,0.0,8,0,0
38793,8,4,7,0.0,10,0,0
603,8,4,25,0.0,4,1,0
7097,8,4,13,0.0,13,0,0
9004,8,4,35,8.0,6,0,0
2444,8,4,6,0.0,12,0,0
22417,8,4,21,8.0,6,0,0
4246,8,4,7,0.0,16,0,0
31813,8,4,77,8.0,0,0,0
11672,8,4,5,0.0,4,0,0
34433,8,4,12,0.0,10,0,0
33911,8,4,7,0.0,19,0,0
20713,8,4,6,0.0,10,0,0
30145,8,4,6,0.0,4,0,0
17267,8,4,5,8.0,10,0,0
15439,8,4,35,8.0,5,0,0
118,8,4,12,8.0,20,0,0
23993,8,4,20,0.0,29,0,0
18577,8,4,8,8.0,9,0,0
23010,8,4,37,0.0,11,1,0
34338,8,4,7,0.0,17,0,0
21990,8,4,35,8.0,9,0,0
31775,8,4,9,0.0,8,0,0
16703,8,4,63,8.0,11,1,0
13081,8,4,24,0.0,6,1,0
18571,8,4,21,8.0,4,0,0
5104,8,4,42,0.0,15,1,0
39300,8,4,7,0.0,13,0,0
11929,8,4,7,8.0,7,0,0
3717,8,4,7,0.0,8,0,0
18008,8,4,7,8.0,9,0,0
33086,8,4,49,8.0,14,0,0
10877,8,4,18,0.0,4,0,0
13245,8,4,1,8.0,11,0,0
39425,8,4,49,8.0,4,1,0
26365,8,4,19,8.0,8,0,0
25667,8,4,7,0.0,4,0,0
11012,8,4,24,0.0,4,1,0
4658,8,4,42,8.0,4,1,0
4349,8,4,16,0.0,5,0,0
7765,8,4,35,8.0,4,0,0
21964,8,4,12,8.0,5,0,0
13762,8,4,7,8.0,4,0,0
25604,8,4,28,0.0,5,1,0
29682,8,4,18,0.0,12,0,0
8530,8,4,21,0.0,10,0,0
25188,8,4,4,0.0,5,0,0
6309,8,4,7,8.0,20,0,0
24033,8,4,28,8.0,5,0,0
15283,8,4,42,0.0,7,0,0
30502,8,4,18,8.0,7,1,0
13263,8,4,21,8.0,11,0,0
5629,8,4,6,0.0,9,0,0
20021,8,4,49,0.0,3,0,0
21476,8,4,27,0.0,4,1,0
33094,8,4,5,0.0,15,0,0
524,8,4,14,0.0,4,0,0
728,8,4,5,0.0,22,0,0
12342,8,4,11,0.0,6,0,0
20182,8,4,21,0.0,9,0,0
1563,8,4,26,0.0,4,1,0
29884,8,4,7,0.0,14,0,0
4666,8,4,62,8.0,0,0,0
24491,8,4,40,0.0,6,0,0
706,8,4,5,0.0,3,0,0
21959,8,4,5,8.0,8,0,0
22727,8,4,13,8.0,7,0,0
39330,8,4,14,8.0,10,0,0
39962,8,4,28,8.0,7,0,0
25858,8,4,49,0.0,8,1,0
2834,8,4,26,0.0,7,1,0
17325,8,4,12,8.0,6,0,0
28774,8,4,15,8.0,11,0,0
25538,8,4,8,0.0,3,0,0
30359,8,4,15,0.0,3,0,0
13184,8,4,35,8.0,5,1,0
23806,8,4,7,8.0,32,0,0
25240,8,4,49,0.0,5,1,0
37606,8,4,24,0.0,0,0,0
32808,8,4,25,0.0,0,0,0
36121,8,4,14,0.0,8,0,0
23310,8,4,5,0.0,5,0,0
2179,8,4,70,8.0,0,0,0
22635,8,4,7,8.0,20,0,0
28962,8,4,20,0.0,27,0,0
28928,8,4,8,0.0,4,0,0
19956,8,4,21,8.0,7,0,0
1750,8,4,34,8.0,5,1,0
7919,8,4,28,8.0,5,1,0
14188,8,4,42,0.0,2,0,0
34666,8,4,63,8.0,9,1,0
28766,8,4,3,0.0,18,0,0
24064,8,4,27,0.0,0,0,0
23587,8,4,17,0.0,9,0,0
36292,8,4,42,0.0,3,0,0
12554,8,4,6,8.0,7,0,0
31010,8,4,49,8.0,3,1,0
27537,8,4,49,8.0,7,0,0
11293,8,4,1,8.0,5,0,0
4603,8,4,13,0.0,17,0,0
13170,8,4,42,8.0,8,1,0
2457,8,4,13,8.0,3,0,0
23454,8,4,7,8.0,3,0,0
1993,8,4,21,8.0,8,0,0
25520,8,4,7,8.0,8,0,0
29551,8,4,41,8.0,3,1,0
26396,8,4,14,8.0,4,0,0
19780,8,4,14,0.0,6,0,0
37840,8,4,15,8.0,10,1,0
13254,8,4,49,0.0,11,1,0
31756,8,4,14,8.0,5,0,0
2938,8,4,18,0.0,8,0,0
6720,8,4,25,8.0,7,0,0
801,8,4,33,0.0,3,1,0
2968,8,4,42,8.0,8,0,0
10744,8,4,10,0.0,5,0,0
28802,8,4,21,8.0,3,0,0
66,8,4,28,0.0,6,0,0
21855,8,4,35,0.0,9,1,0
10162,8,4,6,0.0,3,0,0
17229,8,4,49,8.0,5,0,0
16493,8,4,73,8.0,3,1,0
17633,8,4,14,8.0,8,0,0
2180,8,4,21,0.0,9,0,0
3296,8,4,77,8.0,8,1,0
30566,8,4,63,8.0,5,1,0
1837,8,4,60,8.0,0,0,0
35244,8,4,7,0.0,2,0,0
34590,8,4,22,0.0,0,0,0
34476,8,4,21,8.0,10,0,0
20522,8,4,8,8.0,21,0,0
17930,8,4,26,0.0,3,1,0
23957,8,4,4,8.0,5,0,0
31308,8,4,7,8.0,17,0,0
20888,8,4,3,8.0,6,0,0
33015,8,4,49,0.0,12,1,0
5509,8,4,7,0.0,13,0,0
21977,8,4,28,0.0,0,0,0
2598,8,4,42,0.0,3,0,0
13034,8,4,5,8.0,6,0,0
33012,8,4,13,8.0,11,0,0
38635,8,4,28,8.0,5,0,0
12857,8,4,26,0.0,2,1,0
34221,8,4,35,0.0,18,1,0
3109,8,4,55,8.0,6,0,0
20800,8,4,7,0.0,11,0,0
7695,8,4,7,8.0,12,0,0
361,8,4,70,8.0,12,1,0
17100,8,4,19,8.0,4,0,0
18836,8,4,24,0.0,5,1,0
37636,8,4,19,0.0,17,0,0
35395,8,4,14,0.0,21,0,0
13744,8,4,7,8.0,13,0,0
33642,8,4,7,8.0,10,0,0
6467,8,4,18,0.0,9,0,0
36566,8,4,19,8.0,5,0,0
37916,8,4,42,8.0,2,0,0
31832,8,4,29,8.0,0,0,0
1461,8,4,21,0.0,3,1,0
25986,8,4,42,8.0,4,0,0
36867,8,4,24,0.0,10,1,0
5601,8,4,27,0.0,12,1,0
27406,8,4,49,8.0,6,0,0
13588,8,4,21,8.0,7,1,0
31159,8,4,7,0.0,6,0,0
12320,8,4,20,0.0,15,0,0
28985,8,4,24,0.0,7,1,0
9009,8,4,48,8.0,3,0,0
26411,8,4,35,8.0,2,0,0
21784,8,4,49,0.0,4,1,0
20506,8,4,35,8.0,6,0,0
21354,8,4,2,0.0,4,0,0
14906,8,4,7,0.0,22,0,0
0,8,4,24,0.0,4,1,0
3877,8,4,9,8.0,4,0,0
17420,8,4,21,0.0,3,1,0
35579,8,4,30,8.0,3,0,0
37427,8,4,2,8.0,5,0,0
24850,8,4,14,0.0,4,0,0
31164,8,4,27,0.0,14,1,0
30227,8,4,19,0.0,27,0,0
17681,8,4,14,8.0,9,0,0
20140,8,4,28,0.0,3,0,0
25929,8,4,7,8.0,6,0,0
20565,8,4,21,8.0,5,0,0
29931,8,4,25,0.0,12,1,0
17673,8,4,35,0.0,10,0,0
39356,8,4,6,8.0,12,0,0
19637,8,4,34,8.0,3,1,0
9483,8,4,13,8.0,15,1,0
32513,8,4,1,8.0,1,0,0
2368,8,4,61,8.0,3,1,0
10420,8,4,7,8.0,12,0,0
