,Segmento,SemanaDoMes,QtdDiasSemCompras,CamprasMedia,CamprasMediaMesAtual,UltimaCompraCancelada,Positivada
16294,8,4,27,0.0,9,1,1
18636,8,4,4,0.0,5,0,1
14804,8,4,62,8.0,4,1,1
11538,8,4,27,8.0,6,0,1
16573,8,4,21,8.0,6,0,1
26073,8,4,19,0.0,24,1,1
19419,8,4,21,0.0,11,0,1
12767,8,4,63,8.0,4,1,1
25417,8,4,7,0.0,11,0,1
33324,8,4,16,0.0,4,0,1
27042,8,4,6,8.0,30,0,1
15297,8,4,7,8.0,25,0,1
13576,8,4,16,0.0,23,1,1
24650,8,4,14,0.0,6,0,1
32389,8,4,7,0.0,12,0,1
27874,8,4,7,0.0,52,0,1
19855,8,4,21,8.0,10,0,1
14103,8,4,34,0.0,4,1,1
14710,8,4,21,0.0,5,1,1
16481,8,4,18,0.0,7,0,1
25469,8,4,12,8.0,8,0,1
5078,8,4,19,0.0,12,0,1
24500,8,4,20,8.0,4,0,1
13324,8,4,19,0.0,12,0,1
8321,8,4,21,0.0,8,1,1
30598,8,4,13,8.0,13,1,1
22991,8,4,48,0.0,6,1,1
39607,8,4,63,8.0,7,1,1
37866,8,4,4,0.0,6,0,1
4483,8,4,21,8.0,6,0,1
18373,8,4,41,8.0,8,0,1
6321,8,4,42,8.0,4,0,1
25632,8,4,14,0.0,9,0,1
27441,8,4,27,0.0,16,1,1
33068,8,4,15,8.0,5,0,1
39124,8,4,28,0.0,7,0,1
31139,8,4,12,8.0,9,0,1
29388,8,4,29,8.0,0,0,1
11613,8,4,8,0.0,13,0,1
27350,8,4,7,0.0,3,0,1
18901,8,4,7,0.0,10,0,1
40050,8,4,26,0.0,0,0,1
5324,8,4,4,0.0,7,0,1
14441,8,4,54,8.0,5,1,1
11488,8,4,7,0.0,6,0,1
20226,8,4,9,8.0,15,0,1
12567,8,4,6,0.0,11,0,1
40348,8,4,49,8.0,7,1,1
9527,8,4,7,8.0,3,0,1
16392,8,4,44,0.0,10,1,1
31572,8,4,21,8.0,5,1,1
2908,8,4,69,8.0,6,1,1
1998,8,4,19,8.0,6,0,1
7928,8,4,49,0.0,7,1,1
1191,8,4,21,0.0,10,1,1
38448,8,4,21,0.0,15,0,1
40409,8,4,21,0.0,10,0,1
19509,8,4,49,0.0,8,1,1
38486,8,4,7,8.0,8,0,1
32395,8,4,21,0.0,13,1,1
28172,8,4,63,8.0,6,1,1
38251,8,4,13,0.0,9,0,1
11325,8,4,33,0.0,3,0,1
2980,8,4,28,0.0,6,1,1
2385,8,4,7,0.0,5,0,1
40389,8,4,39,8.0,10,0,1
36080,8,4,21,0.0,7,1,1
40309,8,4,9,8.0,12,0,1
24985,8,4,35,0.0,4,0,1
22763,8,4,35,0.0,12,1,1
36252,8,4,7,0.0,14,0,1
18461,8,4,19,0.0,7,0,1
23986,8,4,28,0.0,17,1,1
40368,8,4,63,8.0,21,1,1
29966,8,4,13,0.0,6,0,1
7811,8,4,28,8.0,4,1,1
27217,8,4,14,8.0,17,1,1
22983,8,4,29,8.0,5,1,1
31044,8,4,9,0.0,9,0,1
25801,8,4,35,8.0,6,1,1
20678,8,4,6,8.0,19,0,1
7035,8,4,13,8.0,10,1,1
5199,8,4,8,0.0,5,1,1
14415,8,4,28,8.0,5,0,1
21017,8,4,5,8.0,12,0,1
38224,8,4,13,0.0,5,0,1
34135,8,4,7,0.0,15,0,1
27072,8,4,24,0.0,0,0,1
40306,8,4,15,8.0,13,0,1
37212,8,4,14,0.0,4,0,1
15118,8,4,7,0.0,13,0,1
8613,8,4,14,8.0,7,0,1
31981,8,4,63,8.0,0,0,1
36839,8,4,49,0.0,10,1,1
38884,8,4,35,8.0,4,0,1
11921,8,4,28,8.0,4,0,1
14515,8,4,62,8.0,0,0,1
12546,8,4,14,8.0,12,0,1
21139,8,4,21,0.0,7,1,1
24594,8,4,3,8.0,17,0,1
30972,8,4,14,0.0,4,0,1
38626,8,4,28,0.0,0,0,1
10390,8,4,20,0.0,9,0,1
6495,8,4,21,0.0,5,1,1
1389,8,4,7,0.0,4,0,1
964,8,4,50,8.0,7,0,1
17524,8,4,13,8.0,6,0,1
36,8,4,7,8.0,5,0,1
20205,8,4,14,0.0,10,0,1
17763,8,4,26,0.0,5,1,1
31764,8,4,28,8.0,8,0,1
29377,8,4,21,8.0,12,0,1
15651,8,4,25,0.0,0,0,1
3302,8,4,49,8.0,9,1,1
26431,8,4,7,0.0,16,0,1
23871,8,4,21,8.0,8,0,1
7907,8,4,13,8.0,17,0,1
28373,8,4,25,0.0,14,1,1
28871,8,4,29,8.0,0,1,1
8017,8,4,20,8.0,10,1,1
35313,8,4,7,0.0,8,0,1
39454,8,4,8,8.0,8,0,1
1493,8,4,5,0.0,12,0,1
16931,8,4,14,0.0,11,0,1
25421,8,4,21,0.0,5,0,1
2551,8,4,42,8.0,8,0,1
22712,8,4,7,0.0,20,0,1
29429,8,4,7,0.0,2,0,1
22089,8,4,52,8.0,8,0,1
23176,8,4,21,0.0,4,1,1
24731,8,4,26,8.0,13,1,1
9328,8,4,14,8.0,8,0,1
10844,8,4,28,8.0,14,0,1
26657,8,4,54,8.0,4,1,1
36471,8,4,28,0.0,14,0,1
27271,8,4,33,8.0,6,1,1
16000,8,4,28,0.0,15,1,1
12064,8,4,6,0.0,5,0,1
40712,8,4,12,8.0,4,0,1
12469,8,4,16,8.0,4,1,1
31058,8,4,35,8.0,11,0,1
11108,8,4,70,8.0,5,1,1
19717,8,4,25,0.0,4,1,1
13822,8,4,51,0.0,6,1,1
21579,8,4,14,8.0,7,0,1
38662,8,4,8,8.0,11,0,1
3026,8,4,27,8.0,6,1,1
26027,8,4,18,0.0,23,1,1
20645,8,4,24,0.0,2,1,1
34537,8,4,77,8.0,10,1,1
13436,8,4,21,8.0,8,0,1
6784,8,4,21,0.0,4,0,1
7507,8,4,7,8.0,9,0,1
11252,8,4,7,0.0,4,0,1
32154,8,4,7,8.0,7,0,1
15029,8,4,26,8.0,12,1,1
33461,8,4,14,0.0,3,0,1
16367,8,4,26,0.0,0,0,1
8489,8,4,21,8.0,11,0,1
12088,8,4,34,0.0,5,1,1
22685,8,4,21,8.0,3,0,1
34978,8,4,49,0.0,9,1,1
33280,8,4,27,0.0,0,0,1
33725,8,4,2,8.0,11,0,1
11094,8,4,24,0.0,0,0,1
6778,8,4,7,0.0,10,0,1
38522,8,4,22,8.0,4,1,1
32158,8,4,21,0.0,3,0,1
17443,8,4,7,0.0,17,0,1
7391,8,4,25,0.0,9,1,1
35473,8,4,21,8.0,4,0,1
6618,8,4,41,8.0,5,1,1
29136,8,4,21,0.0,14,1,1
16748,8,4,35,8.0,3,0,1
3211,8,4,29,8.0,0,1,1
21687,8,4,4,8.0,21,0,1
29129,8,4,35,0.0,4,0,1
30076,8,4,7,8.0,5,0,1
36303,8,4,34,0.0,11,0,1
24868,8,4,33,0.0,8,1,1
4269,8,4,26,0.0,6,1,1
11646,8,4,21,8.0,14,1,1
6755,8,4,7,0.0,6,0,1
38800,8,4,6,8.0,33,0,1
25031,8,4,27,0.0,18,1,1
14791,8,4,26,0.0,7,0,1
34829,8,4,5,0.0,6,0,1
35347,8,4,27,8.0,5,1,1
17650,8,4,28,0.0,1,1,1
32056,8,4,42,0.0,5,0,1
28986,8,4,21,0.0,5,0,1
32038,8,4,7,8.0,6,0,1
25908,8,4,21,0.0,3,1,1
9707,8,4,21,0.0,3,0,1
32340,8,4,27,0.0,0,0,1
13368,8,4,21,8.0,5,0,1
19942,8,4,26,8.0,9,0,1
12830,8,4,6,8.0,17,0,1
36373,8,4,8,8.0,6,0,1
40614,8,4,7,0.0,7,0,1
10589,8,4,24,0.0,0,0,1
4672,8,4,21,0.0,7,0,1
9036,8,4,20,0.0,3,0,1
6530,8,4,69,8.0,4,1,1
34017,8,4,16,8.0,11,0,1
31045,8,4,39,8.0,13,0,1
24406,8,4,35,8.0,4,0,1
9843,8,4,19,0.0,15,1,1
33915,8,4,15,8.0,42,1,1
22395,8,4,24,8.0,13,1,1
26845,8,4,36,0.0,3,0,1
7446,8,4,50,8.0,13,0,1
21496,8,4,32,8.0,6,1,1
21823,8,4,5,8.0,9,0,1
35797,8,4,42,0.0,10,0,1
19235,8,4,7,8.0,4,0,1
12518,8,4,14,0.0,16,0,1
21527,8,4,9,0.0,10,0,1
6476,8,4,21,0.0,14,0,1
13769,8,4,26,0.0,4,1,1
39651,8,4,20,8.0,8,0,1
31552,8,4,22,0.0,4,0,1
19330,8,4,35,8.0,7,1,1
36123,8,4,35,0.0,6,1,1
35947,8,4,20,0.0,4,0,1
1137,8,4,56,8.0,5,0,1
16884,8,4,9,8.0,24,0,1
2860,8,4,63,8.0,13,1,1
28798,8,4,28,8.0,0,0,1
12558,8,4,21,0.0,7,0,1
9440,8,4,7,0.0,5,0,1
35123,8,4,13,0.0,10,0,1
12601,8,4,29,8.0,11,0,1
26676,8,4,49,0.0,6,1,1
35775,8,4,35,8.0,6,0,1
9264,8,4,7,8.0,10,0,1
23790,8,4,21,0.0,4,1,1
39159,8,4,21,0.0,13,0,0
26031,8,4,28,0.0,0,0,0
3314,8,4,21,0.0,19,0,0
31359,8,4,47,8.0,8,0,0
25591,8,4,7,0.0,10,0,0
22702,8,4,49,0.0,4,1,0
35654,8,4,30,8.0,6,0,0
452,8,4,15,0.0,3,0,0
21356,8,4,21,0.0,4,0,0
2523,8,4,20,8.0,8,0,0
34765,8,4,21,0.0,13,0,0
4501,8,4,4,0.0,8,0,0
20838,8,4,14,8.0,7,0,0
32597,8,4,20,8.0,4,1,0
9451,8,4,27,8.0,0,1,0
15497,8,4,47,0.0,11,1,0
20011,8,4,7,8.0,21,0,0
4081,8,4,42,8.0,4,1,0
22625,8,4,14,0.0,36,0,0
23461,8,4,26,0.0,0,0,0
23230,8,4,27,0.0,3,1,0
30937,8,4,14,0.0,18,0,0
40588,8,4,19,8.0,4,0,0
26932,8,4,14,8.0,3,0,0
23939,8,4,9,0.0,5,0,0
21059,8,4,7,8.0,9,0,0
3289,8,4,6,8.0,11,0,0
11861,8,4,52,0.0,7,0,0
15882,8,4,39,0.0,8,0,0
14288,8,4,7,8.0,3,0,0
8756,8,4,49,8.0,12,0,0
33746,8,4,6,0.0,16,0,0
7566,8,4,19,0.0,10,0,0
40661,8,4,56,8.0,5,0,0
6127,8,4,26,8.0,7,0,0
2977,8,4,41,0.0,9,1,0
15815,8,4,5,8.0,4,0,0
10301,8,4,27,0.0,6,0,0
21571,8,4,28,0.0,5,1,0
32015,8,4,35,8.0,5,0,0
4544,8,4,41,0.0,10,0,0
19122,8,4,25,0.0,7,1,0
16103,8,4,20,0.0,19,0,0
27392,8,4,7,0.0,7,0,0
28413,8,4,7,0.0,4,0,0
15560,8,4,20,0.0,12,1,0
11138,8,4,7,0.0,33,0,0
18584,8,4,28,0.0,9,0,0
15781,8,4,21,0.0,6,0,0
40344,8,4,29,8.0,0,1,0
19342,8,4,22,0.0,9,1,0
6775,8,4,8,8.0,13,0,0
38904,8,4,77,8.0,0,0,0
27567,8,4,42,8.0,3,1,0
13133,8,4,42,8.0,6,0,0
29461,8,4,35,8.0,8,1,0
34750,8,4,20,0.0,39,0,0
34197,8,4,21,0.0,3,0,0
18219,8,4,7,0.0,18,1,0
29347,8,4,14,0.0,3,0,0
9576,8,4,19,8.0,10,0,0
22597,8,4,21,8.0,8,1,0
4512,8,4,13,8.0,18,0,0
36385,8,4,30,0.0,9,0,0
17974,8,4,34,8.0,5,0,0
32092,8,4,18,0.0,7,0,0
31414,8,4,35,0.0,8,1,0
17014,8,4,20,0.0,9,0,0
36255,8,4,47,8.0,5,1,0
12157,8,4,35,8.0,6,0,0
1438,8,4,14,0.0,13,0,0
620,8,4,7,0.0,6,0,0
40799,8,4,13,8.0,21,1,0
6431,8,4,7,8.0,8,0,0
39533,8,4,20,0.0,4,0,0
7570,8,4,13,0.0,7,0,0
40809,8,4,76,8.0,0,0,0
19450,8,4,35,8.0,11,0,0
29893,8,4,6,8.0,21,0,0
28889,8,4,21,8.0,6,0,0
40484,8,4,13,8.0,10,0,0
25071,8,4,22,0.0,7,1,0
37167,8,4,7,8.0,13,0,0
33561,8,4,29,8.0,9,0,0
19480,8,4,28,8.0,6,1,0
19101,8,4,5,8.0,13,0,0
11048,8,4,14,0.0,2,1,0
33050,8,4,28,0.0,7,1,0
37431,8,4,28,0.0,6,1,0
28430,8,4,19,0.0,8,0,0
36607,8,4,7,0.0,5,0,0
7420,8,4,28,0.0,3,1,0
38079,8,4,6,8.0,4,0,0
